KSLN,Salina,Kansas,United States,38.791000,-97.652200,
KTOP,Topeka,Kansas,United States,39.068657,-95.622482,
KICT,Wichita,Kansas,United States,37.649944,-97.433056,
KBWG,Bowling Green,Kentucky,United States,36.964528,-86.419667,
KFTK,Brandenburg,Kentucky,United States,37.907058,-85.972106,
KLUK,Covington,Kentucky,United States,39.103333,-84.418611,
KHOP,Fort Campbell,Kentucky,United States,36.668567,-87.496183,
KFTK,Fort Knox,Kentucky,United States,37.907058,-85.972106,
KFFT,Frankfort,Kentucky,United States,38.181972,-84.906139,
KHOP,Hopkinsville,Kentucky,United States,36.668567,-87.496183,
KLEX,Lexington,Kentucky,United States,38.036500,-84.605889,
KLOZ,London,Kentucky,United States,37.086889,-84.077389,
KSDF,Louisville,Kentucky,United States,38.174086,-85.736499,
KOWB,Owensboro,Kentucky,United States,37.740100,-87.166800,
KPAH,Paducah,Kentucky,United States,37.060288,-88.772958,
KSME,Somerset,Kentucky,United States,37.053611,-84.615556,
KAEX,Alexandria,Louisiana,United States,31.327400,-92.549833,
KBTR,Baton Rouge,Louisiana,United States,30.533167,-91.149639,
KPOE,Fort Polk,Louisiana,United States,31.044833,-93.191667,
KLFT,Lafayette,Louisiana,United States,30.205278,-91.987611,
KMLU,Monroe,Louisiana,United States,32.510864,-92.037689,
KARA,New Iberia,Louisiana,United States,30.037758,-91.883896,
KLEW,Auburn,Maine,United States,44.048473,-70.283508,
KAUG,Augusta,Maine,United States,44.320647,-69.797317,
KBGR,Bangor,Maine,United States,44.807444,-68.828139,
KBHB,Bar Harbor,Maine,United States,44.449769,-68.361565,
KCAR,Caribou,Maine,United States,46.871500,-68.017917,
KFVE,Frenchville,Maine,United States,47.285556,-68.312778,
KHUL,Houlton,Maine,United States,46.123083,-67.792056,
KMLT,Millinocket,Maine,United States,45.647836,-68.685561,
KPWM,Portland,Maine,United States,43.646161,-70.309281,
KPQI,Presque Isle,Maine,United States,46.688958,-68.044797,
KRKD,Rockland,Maine,United States,44.060111,-69.099230,
KBWI,Baltimore,Maryland,United States,39.175361,-76.668333,
KHGR,Hagerstown,Maryland,United States,39.707900,-77.729500,
KNHK,Patuxent River,Maryland,United States,38.285981,-76.411781,
KSBY,Salisbury,Maryland,United States,38.340525,-75.510289,
KBED,Bedford,Massachusetts,United States,42.469953,-71.289031,
KBVY,Beverly,Massachusetts,United States,42.584141,-70.916144,
KBOS,Boston,Massachusetts,United States,42.364347,-71.005181,
KCEF,Chicopee,Massachusetts,United States,42.194014,-72.534783,
KFIT,Fitchburg,Massachusetts,United States,42.554111,-71.758972,
